athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,start_latlng,end_latlng,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,flagged,gear_id,upload_id_str,average_speed,max_speed,has_heartrate,elev_high,elev_low,total_photo_count,has_kudoed
82235462,Route 1 Poging 15,3364.6,952,952,0,Run,3,5975842195,76FFFF57-3AFA-448A-AB72-FF9AFD10EE23-activity.fit,6351959522,2021-09-17T17:36:25Z,2021-09-17T19:36:25Z,(GMT+01:00) Europe/Brussels,"[51.073174,4.323658]","[51.073223,4.323658]",5,0,0,1,0,"{""id"":""a5975842195"",""summary_polyline"":""ifvvHymkY|CWfG@ZCz@?rBGjAY`Aa@nBo@DEBO@u@`@mGVqFJ}DXuGESEE_A_@g@_@m@u@m@k@a@e@mAoAW]Yk@W{@{@uFAi@L_CEYu@m@{@g@{AmAs@[YQS[g@sAMMc@QMKIMCWHyAA_@CMSWSQUKgAW[Cs@WQKo@s@I?ILS~@mAtEuDdM]|@eAjBs@vA]|@g@jBq@hB}@jDkAxDMl@e@pCS|AkA~GCV@HDL`@^\\f@x@|@x@bBLNVRX^`AlBFDfCJ`Bf@R@^?XBlC^bABd@F`@?r@Hd@?"",""resource_state"":2}",,,,1,,,6351959522,3.534,5.3,,1.6,-0.3,0,
82235462,Route 1 Poging 14,3365.3,957,957,0,Run,3,5966214581,CB3A1024-6C4B-4BF9-8368-497502EA5F9B-activity.fit,6341895645,2021-09-12T20:35:57Z,2021-09-12T22:35:57Z,(GMT+01:00) Europe/Brussels,"[51.073143,4.323699]","[51.073186,4.323705]",2,0,0,1,0,"{""id"":""a5966214581"",""summary_polyline"":""cfvvHankYRBzBElCA`B@RBt@Mf@Bb@EpAAfAS`@U`AYrAk@FOHcCt@oL@}@`@cLCOEEk@Ue@WUOu@w@gAuA}AeB_@s@Ss@_@}Ba@aC?i@LyB?IEQk@i@gAq@oA_AoAm@]c@[}@IMSU[KMKGKGYAQDmAA]IWMQWQc@Q_@GaBi@QMW]YUE@GHMv@UhAeA|D}BnH_@tAq@dBy@pA}@hBcCvIc@jAcAjDYhAS|@}@`GQvASnAWx@CN?JLPR`@j@d@\\`@P^|@pA^`@pAvBPf@HH|ABXDhANr@R\\A`@DvBZz@Fx@PVAhB@FK"",""resource_state"":2}",,,,1,,,6341895645,3.517,6.9,,1.6,-0.3,0,
82235462,Route 1 Poging 13,3348,966,966,0,Run,3,5912766442,53EEE292-0CAF-4490-AC65-AF7034973B1A-activity.fit,6285946769,2021-09-05T22:05:46Z,2021-09-06T00:05:46Z,(GMT+01:00) Europe/Brussels,"[51.073123,4.323685]","[51.073285,4.323696]",3,0,0,1,0,"{""id"":""a5912766442"",""summary_polyline"":""_fvvH_nkYTBnEMzA@l@Cj@Fj@Ib@@n@C~@?lAUjDsATQBK@u@^aGZcG@cA`@kKCOCEeAe@gA{@qBcCcAiAQYUg@Ss@}@iFAk@L_CAQGOm@i@mAw@oAaAgAg@Ye@[y@O[QKe@OIIGKE[JiAA[Ic@S[_@UwAW{@WUOa@o@OGC?IHUlAoAfE]rAu@zBiBrGSj@wB`Em@lBw@rCe@vAoAnEi@|AaA`Ge@pDQbAUt@AV@JJNjAxAr@r@Nb@v@fAN\\`@d@r@rAHHh@Hf@?lBT\\Fb@NZ?zFl@z@BdAA"",""resource_state"":2}",,,,1,,,6285946769,3.466,4.8,,1.6,-0.3,0,
82235462,Route 1 Poging 12,3349.3,993,993,0,Run,3,5895617143,ED7FB018-D841-48FA-A0D4-523B279950BE-activity.fit,6267985214,2021-09-02T21:05:32Z,2021-09-02T23:05:32Z,(GMT+01:00) Europe/Brussels,"[51.073168,4.323757]","[51.073265,4.323692]",0,0,0,1,0,"{""id"":""a5895617143"",""summary_polyline"":""gfvvHmnkYPFr@A^F\\@r@CZCvB@p@G\\Bf@Gn@Hp@Ex@?nAU~Au@d@Mb@SJGDOVoDh@yJBoAZcHD{BEMECq@Um@_@e@y@_Ay@sAuAm@w@We@Uw@cAeG?]PcCASEOs@i@qAs@iA{@{@_@OKUa@c@mASQa@OIIGOCe@D{@?[Ia@U]YQeA[m@Gq@_@e@k@UQGBEHWpAaBnG}B|Ho@jBq@lAs@bBUZQb@Ul@a@`BuDtLe@pBqArJi@pCBL\\Zd@x@LLPHP^`C`Db@v@Zr@HJHB\\@h@FjAFb@Fp@PX@TB~A\\pAFb@H~AB~@G"",""resource_state"":2}",,,,1,,,6267985214,3.373,5.2,,1.6,-0.3,0,
82235462,Route 1 Poging 11,3363.2,924,924,0,Run,3,5858389265,C6D5834A-BF33-45A3-91C8-41E2AFC888EC-activity.fit,6229033307,2021-08-26T20:12:40Z,2021-08-26T22:12:40Z,(GMT+01:00) Europe/Brussels,"[51.073131,4.323763]","[51.073214,4.3237]",5,0,0,1,0,"{""id"":""a5858389265"",""summary_polyline"":""afvvHonkYRDf@En@@h@CPE\\@~AI^D^@d@HZ@LA\\KT?l@EtABx@KRKdDoAHMDQJkDR_CL{DJyA@o@RwCNsFAIIKy@_@aAo@u@w@_AoAsAyAc@u@Qo@WiBUiAQwABw@NuAASIQu@o@yAaAoAcAi@OMIU[]gAKSMKg@QIGMSAS?_@Hs@?c@EOU[QOQIi@QYG}Ac@OO[i@ECICE@IJe@xBc@jAc@rBaAdDk@xBw@dC{@rB[h@s@`AUl@u@nCuAjEiAfEg@`BWnA[pBm@vEK^Gj@Wt@Ed@BPHLh@VDD`@v@t@lATZ`@`@p@x@d@v@N`@PLp@Rj@Bv@Nn@Br@T`@B|@L`AD`ALlAJ~AH\\C"",""resource_state"":2}",,,,1,,,6229033307,3.64,4.6,,1.6,-0.3,0,
82235462,Route 1 poging 10,3349.1,965,965,0,Run,3,5841719656,BB04C5D8-8F75-4727-A41A-64EB7F5B0F10-activity.fit,6211671033,2021-08-23T20:27:21Z,2021-08-23T22:27:21Z,(GMT+01:00) Europe/Brussels,"[51.073097,4.323697]","[51.073209,4.323716]",2,0,0,1,0,"{""id"":""a5841719656"",""summary_polyline"":""yevvHankYVBVILAt@?p@Bp@ClAMrA@XBl@AZBXM`A?b@BdBa@dA]l@[d@]HMBQl@mJJ_D?aADgBJgDLuBCSIM}@g@]UoAoAe@m@}@}@a@g@c@y@Uw@eAsG?]HaAB}@?QGQa@]iAq@k@g@w@k@KE[GOIW_@Wq@_@m@KIe@OIIKUG_@?YHy@ASEYQYYQ[Ko@Wm@Eu@UOMe@m@UEGDQlAc@lBa@vAMl@c@|AYfAm@`Bi@lBm@bB]j@[z@u@dAOn@KRYlAcCnHuA|Ek@bDy@~Fi@xBEh@?HHNb@^JLTb@N`@LJdAtAf@`@\\d@Zl@RZRd@FFfALd@?zANh@P`AFr@Ll@@p@P^Fh@Lp@BfBE"",""resource_state"":2}",,,,1,,,6211671033,3.471,4.8,,1.6,-0.3,0,
82235462,Route 1 Poging 9,3354.9,991,991,0,Run,3,5825464064,7608D75F-2991-4298-AA19-921AEA00B6D9-activity.fit,6194614806,2021-08-20T21:10:02Z,2021-08-20T23:10:02Z,(GMT+01:00) Europe/Brussels,"[51.073113,4.3237]","[51.073223,4.323678]",5,0,0,1,0,"{""id"":""a5825464064"",""summary_polyline"":""}evvHankYXD|@EZ@b@?dADnAIj@@t@Ij@Ab@Gb@?`BDLA`Cy@tAo@RMHW?q@PgDNcBJsBJuB@sA`@eJ@e@AGGIm@Um@c@a@o@m@o@U]]Um@g@w@_AS]W{@e@{C_@mBA]NcCAQEOi@c@mAu@qAcAeAc@Uc@Yw@O[KKk@UQMEc@D_AAo@GWW[[U_@KUOo@MWKq@Qi@o@MKG?GJMbAQx@cAjD]bA_@hBg@rAOl@c@tAg@pAU\\u@rAcAzBm@dC]bA_ChIm@nBUdA[`C}@|FUn@Oh@?H@PHTbAnAZb@RLHJP`@^l@Vj@r@v@f@n@L`@PNVDz@DbANr@LTFv@Jr@Lp@Df@HX?d@P~@Nt@@bAM"",""resource_state"":2}",,,,1,,,6194614806,3.385,4.5,,1.6,-0.3,0,
82235462,Route 1 Poging 8,3366.2,1016,1016,0,Run,0,5728543483,96C996B3-775F-4ACE-809A-8B4B9D5B95FE-activity.fit,6093206223,2021-08-02T20:24:11Z,2021-08-02T22:24:11Z,(GMT+01:00) Europe/Brussels,"[51.073234,4.323696]","[51.073297,4.32368]",2,0,0,1,0,"{""id"":""a5728543483"",""summary_polyline"":""ufvvHankYbBCd@GR@v@CV?t@E`AB`AHj@Gx@BhAI^@t@O^OVE^QZEb@[n@SHGHY@g@LwCFq@^{FBuB\\mHBkBCOGIaAa@c@Wa@_@_@c@k@u@_BeBq@eAOg@}@_GCo@HeCCSIOq@o@cAk@mA{@y@[SK[m@a@mAOMa@KOKKUCQ@g@Fs@AYO_@KQ[Qo@QWEsAi@OMc@e@OKGAIH]hBUv@MRQl@[lA_@bBuCxIkArCy@xA]t@a@xAm@dBq@rCSr@sA|D_@`B]rCMr@O`BUhAMfAK\\Gp@BJZVr@jABJXZZh@n@x@DDDGFDPZb@b@^r@N`@HFpCVdB\\v@@~AZh@@\\Dr@RRBr@?^Dh@C"",""resource_state"":2}",,,,1,,,6093206223,3.313,4.9,,1.7,0.2,0,
82235462,Route 1 poging 7,3366.1,1029,1029,0,Run,3,5620865505,E30E763B-01A4-4056-84A3-81927DE4D99F-activity.fit,5980502203,2021-07-13T13:41:38Z,2021-07-13T15:41:38Z,(GMT+01:00) Europe/Brussels,"[51.073223,4.323735]","[51.073284,4.323662]",0,0,0,1,0,"{""id"":""a5620865505"",""summary_polyline"":""sfvvHinkYPLH@`@C|@B`BIrBBj@Er@Bv@Kr@BdAAdBYlAc@~@g@\\MDM@q@b@mHD}ALgBBeAVwENqE?MGG]I[Oi@a@g@i@q@o@wBaCo@y@MWYqAq@aFAQNeCAWGQIK]Q]W{@g@qA_Aw@]a@m@e@uAQMe@QKKIUASJqAA[GWMQQMWMcAUmA_@[Qy@w@GBCHEt@_@`Bo@rByApFa@jAa@~As@nBw@`By@nAO\\Od@_@dBq@fBg@jBe@tAqAlES`Aa@jD[lBMp@ShBSx@EX?ZFHVFj@f@^l@RTR`@b@f@`@r@H\\j@j@X`@Rb@d@Db@NZ@TFzAN`@LjABbBXj@Bt@LrBJ^A"",""resource_state"":2}",,,,1,,,5980502203,3.271,5.1,,1.8,0.2,0,
82235462,Route 1 Poging 6,3357.8,1125,1125,0,Run,3,5529319293,08698FBF-8F97-4869-95D5-C1A0582E61A2-activity.fit,5884997828,2021-06-25T12:03:53Z,2021-06-25T14:03:53Z,(GMT+01:00) Europe/Brussels,"[51.073129,4.323707]","[51.073262,4.323679]",0,0,0,1,0,"{""id"":""a5529319293"",""summary_polyline"":""_fvvHcnkYTF|@Qd@?x@Dr@AZGh@CVGf@CvAT`BMxACfA[x@g@xAi@NIDK@KJsCh@oJBu@Ak@NqBP}GAMGIm@We@Y[YQU[Wg@g@uBeCi@}@Qq@w@{EGg@?a@JaC?KISm@i@o@_@iBoAgAi@_@m@Ww@KSQM_@IQMGQCYDoAA[GYOYSM_Cs@q@YYU]c@G?IJSbA}@`Dk@vBe@tAa@`B_@|@a@lAWjAQb@UZcAzB]d@Q^Ur@Sx@k@~A_ArDmAzDW|@e@nCa@fCMnAa@bCKb@UZ?VBL\\`@Vj@\\VRj@PLLXNJ\\j@^RPb@z@dAVl@HJZD^@|@L\\@bARXF`@?h@BbB\\t@HtCLp@@"",""resource_state"":2}",,,,1,,,5884997828,2.985,4.7,,1.7,0.2,0,
